CMD,DN,P,SECONDS
      manual ,       100000 ,    2 ,        6.513
  iter-graph ,       100000 ,    2 ,        6.901
      schema ,       100000 ,    2 ,        6.683
         seq ,       100000 ,    4 ,       11.363
  task-graph ,       100000 ,    4 ,          7.8
      manual ,       100000 ,    4 ,        3.931
  iter-graph ,       100000 ,    4 ,        4.296
      schema ,       100000 ,    4 ,        4.139
         seq ,       100000 ,    8 ,       11.452
  task-graph ,       100000 ,    8 ,       10.246
      manual ,       100000 ,    8 ,        3.709
  iter-graph ,       100000 ,    8 ,         4.43
      schema ,       100000 ,    8 ,        3.848
         seq ,       100000 ,   16 ,       11.628
  task-graph ,       100000 ,   16 ,       17.801
      manual ,       100000 ,   16 ,        3.221
  iter-graph ,       100000 ,   16 ,        4.343
      schema ,       100000 ,   16 ,        3.922
         seq ,      1000000 ,    2 ,      120.345
  task-graph ,      1000000 ,    2 ,       66.598
      manual ,      1000000 ,    2 ,       63.204
  iter-graph ,      1000000 ,    2 ,         63.1
      schema ,      1000000 ,    2 ,        63.35
         seq ,      1000000 ,    4 , 115.34700000000001
  task-graph ,      1000000 ,    4 ,       38.134
      manual ,      1000000 ,    4 ,        32.89
  iter-graph ,      1000000 ,    4 ,       34.467
      schema ,      1000000 ,    4 ,        33.17
         seq ,      1000000 ,    8 , 114.43299999999999
  task-graph ,      1000000 ,    8 ,        31.63
      manual ,      1000000 ,    8 ,       24.119
  iter-graph ,      1000000 ,    8 ,       25.008
      schema ,      1000000 ,    8 ,       24.979
         seq ,      1000000 ,   16 ,      111.288
  task-graph ,      1000000 ,   16 ,        32.08
      manual ,      1000000 ,   16 ,       19.796
  iter-graph ,      1000000 ,   16 ,        21.64
      schema ,      1000000 ,   16 ,       21.702
         seq ,     10000000 ,    2 ,     1183.494
  task-graph ,     10000000 ,    2 ,       615.97
      manual ,     10000000 ,    2 ,      604.001
  iter-graph ,     10000000 ,    2 ,      614.674
      schema ,     10000000 ,    2 ,      607.019
         seq ,     10000000 ,    4 ,     1139.577
  task-graph ,     10000000 ,    4 ,      325.514
      manual ,     10000000 ,    4 ,      309.645
  iter-graph ,     10000000 ,    4 ,      316.144
      schema ,     10000000 ,    4 ,      317.892
         seq ,     10000000 ,    8 ,     1136.446
  task-graph ,     10000000 ,    8 ,      219.853
      manual ,     10000000 ,    8 ,      229.598
  iter-graph ,     10000000 ,    8 ,      229.129
      schema ,     10000000 ,    8 ,      198.793
         seq ,     10000000 ,   16 ,     1151.905
  task-graph ,     10000000 ,   16 ,      187.611
      manual ,     10000000 ,   16 ,      171.149
  iter-graph ,     10000000 ,   16 ,      169.916
      schema ,     10000000 ,   16 , 175.04500000000002
